Handle,Title,Vendor,Type,Description,Tags,Published,Variant SKU,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Inventory Qty
maintenance,Products & Categories Maintenance Module,Full Stack Web Marketing,Plugin,Manage products variants inventory cart optimization orders shipping invoicing coupons promotions wishlist upsell cross-sell and bundles.,plugin;plugin;maintenance;module,TRUE,MAINT-001,399.00,,FALSE,1000
content,Content Management System,Full Stack Web Marketing,Plugin,Powerful CMS for managing text content pages menus and static content with visual editor.,plugin;content;module,TRUE,CONT-001,199.00,,FALSE,1000
blog,Blog Module - Article Management,Full Stack Web Marketing,Plugin,Full-featured blog with article management comments categories tags and RSS feed integration.,plugin;blog;module,TRUE,BLOG-001,199.00,,FALSE,1000
seo,Advanced SEO Module,Full Stack Web Marketing,Plugin,Complete SEO toolkit: meta tags sitemap.xml robots.txt canonical URLs schema.org markup AI-powered SEO and competitor analysis.,plugin;seo;module,TRUE,SEO-001,299.00,,FALSE,1000
analytics,Analytics & Performance Module,Full Stack Web Marketing,Plugin,Integrations with Google Analytics Plausible GTMetrix PageSpeed Lighthouse SEMrush Sistrix Ubersuggest.,plugin;analytics;module,TRUE,ANAL-001,249.00,,FALSE,1000
images,Image Management & Gallery Module,Full Stack Web Marketing,Plugin,Advanced image galleries video hosting reels multimedia and CDN integration for fast delivery and high-quality images.,plugin;images;module,TRUE,IMG-001,249.00,,FALSE,1000
payments,Integrated Payments Module,Full Stack Web Marketing,Plugin,Support for PayPal Stripe Klarna Amazon Pay Giropay Sofort Apple Pay Google Pay invoicing and multi-currency (DACH EU worldwide).,plugin;payments;module,TRUE,PAY-001,349.00,,FALSE,1000
courier,Courier Delivery & Tracking Module,Full Stack Web Marketing,Plugin,Integration with major courier services real-time tracking shipping code management and multi-carrier support.,plugin;courier;module,TRUE,COUR-001,199.00,,FALSE,1000
i18n,Internationalization & Multi-Language Module,Full Stack Web Marketing,Plugin,Multi-language support with automatic translation language switching and locale-specific content and pricing.,plugin;i18n;module,TRUE,I18N-001,249.00,,FALSE,1000
newsletter,Newsletter Integration Module,Full Stack Web Marketing,Plugin,Email marketing integrations: Mailchimp Brevo HubSpot Rapidmail Eloqua automation sequences.,plugin;newsletter;module,TRUE,NEWS-001,199.00,,FALSE,1000
socmedia,Social Media Marketing & Integration,Full Stack Web Marketing,Plugin,Instagram Facebook LinkedIn Twitter/X TikTok Pinterest Telegram WhatsApp Twitch Discord integration with automation.,plugin;socmedia;module,TRUE,SOC-001,299.00,,FALSE,1000
reviews,Certified Reviews & Trust Module,Full Stack Web Marketing,Plugin,Integrated reviews via Trustpilot Trusted Shops Yotpo or custom review system with aggregated ratings.,plugin;reviews;module,TRUE,REV-001,199.00,,FALSE,1000
chatbot,Chatbot & Live Chat Module,Full Stack Web Marketing,Plugin,AI Chatbot and live chat integrations: Tidio Intercom LiveChat or custom chatbot solutions.,plugin;chatbot;module,TRUE,CHAT-001,249.00,,FALSE,1000
evsched,Event Management & Appointment Scheduling,Full Stack Web Marketing,Plugin,Calendly integration appointment booking system event scheduling with automated reminders.,plugin;events;module,TRUE,EV-001,199.00,,FALSE,1000
legal,Legal Compliance & GDPR Module,Full Stack Web Marketing,Plugin,GDPR compliance cookie consent management legal page templates privacy policies and terms and conditions.,plugin;legal;module,TRUE,LEG-001,149.00,,FALSE,1000
access,Accessibility & WCAG Compliance Module,Full Stack Web Marketing,Plugin,WCAG AA compliance accessibility audits screen reader optimization color contrast checking and keyboard navigation.,plugin;access;module,TRUE,ACC-001,199.00,,FALSE,1000
support,Ticket Support System Module,Full Stack Web Marketing,Plugin,Customer support ticket system with assignment priority levels automated responses and knowledge base integration.,plugin;support;module,TRUE,SUP-001,199.00,,FALSE,1000
ab-testing,A/B Testing & Conversion Optimization,Full Stack Web Marketing,Plugin,A/B testing for emails landing pages and ads; multivariate testing; conversion rate optimization analytics.,plugin;abtesting;module,TRUE,ABT-001,249.00,,FALSE,1000
marketing,Advanced Web Marketing & KPI Reporting,Full Stack Web Marketing,Plugin,Advanced performance reporting KPI tracking lead generation tools marketing strategy implementation and optimization.,plugin;marketing;module,TRUE,MKT-001,299.00,,FALSE,1000
integration,Integration & Automation Suite,Full Stack Web Marketing,Plugin,ERP connections CRM integration API automation webhook management and data sync modules.,plugin;integration;module,TRUE,INT-001,349.00,,FALSE,1000
dataio,Data Import/Export Module,Full Stack Web Marketing,Plugin,Import and export data via JSON CSV XML formats; bulk operations; data migration tools.,plugin;dataio;module,TRUE,DATA-001,149.00,,FALSE,1000
catalog,Catalog & Pricing Updates Module,Full Stack Web Marketing,Plugin,Bulk update prices product photos variants discounts; scheduled updates; batch operations.,plugin;catalog;module,TRUE,CAT-001,199.00,,FALSE,1000
marketplace,Marketplace Sync & Integration,Full Stack Web Marketing,Plugin,Sync with Amazon eBay Google Shopping Idealo and other marketplaces; centralized inventory management.,plugin;marketplace;module,TRUE,MARKET-001,299.00,,FALSE,1000
